"Sample","Abundance","Type","Taxonomy","RelativeAbundance"
"TO5_3",34128,"Rock Oxic","Hydrogenophaga",44.3220779220779
"W1L",32104,"Water","Hydrogenophaga",41.6935064935065
"W1_1",444,"Water","Hydrogenophaga",0.576623376623377
"W1_2",429,"Water","Hydrogenophaga",0.557142857142857
"W1_3",473,"Water","Hydrogenophaga",0.614285714285714
"W2_1",10645,"Water","Hydrogenophaga",13.8246753246753
"W2_2",10957,"Water","Hydrogenophaga",14.2298701298701
"W2_3",11530,"Water","Hydrogenophaga",14.974025974026
"W3_1",123,"Water","Hydrogenophaga",0.15974025974026
"W3_2",36237,"Water","Hydrogenophaga",47.061038961039
"W3_3",37268,"Water","Hydrogenophaga",48.4
"W4_1",35932,"Water","Hydrogenophaga",46.6649350649351
"W4_2",34856,"Water","Hydrogenophaga",45.2675324675325
"W4_3",38805,"Water","Hydrogenophaga",50.3961038961039
"W5_1",39659,"Water","Hydrogenophaga",51.5051948051948
"W5_2",938,"Water","Hydrogenophaga",1.21818181818182
"W5_3",37792,"Water","Hydrogenophaga",49.0805194805195
"t0_1",66,"Other","Hydrogenophaga",0.0857142857142857
"t0_2",94,"Other","Hydrogenophaga",0.122077922077922
"t0_3",76,"Other","Hydrogenophaga",0.0987012987012987
"G1L",18283,"Glass","Alphaproteobacteria",23.7441558441558
"G1_1",349,"Glass","Alphaproteobacteria",0.453246753246753
"G1_2",416,"Glass","Alphaproteobacteria",0.54025974025974
"G1_3",331,"Glass","Alphaproteobacteria",0.42987012987013
"G2_1",1757,"Glass","Alphaproteobacteria",2.28181818181818
"G2_2",1897,"Glass","Alphaproteobacteria",2.46363636363636
"G2_3",1624,"Glass","Alphaproteobacteria",2.10909090909091
"G3_1",1545,"Glass","Alphaproteobacteria",2.00649350649351
"G3_2",5022,"Glass","Alphaproteobacteria",6.52207792207792
"G3_3",6556,"Glass","Alphaproteobacteria",8.51428571428571
"G4_1",13723,"Glass","Alphaproteobacteria",17.8220779220779
"G4_2",11098,"Glass","Alphaproteobacteria",14.412987012987
"G4_3",331,"Glass","Alphaproteobacteria",0.42987012987013
"G5_1",23603,"Glass","Alphaproteobacteria",30.6532467532468
"G5_2",21377,"Glass","Alphaproteobacteria",27.7623376623377
"G5_3",19473,"Glass","Alphaproteobacteria",25.2896103896104
"TAn1L",22052,"Rock Anoxic","Alphaproteobacteria",28.638961038961
"TAn1_1",557,"Rock Anoxic","Alphaproteobacteria",0.723376623376623
"TAn1_2",834,"Rock Anoxic","Alphaproteobacteria",1.08311688311688
"TAn1_3",589,"Rock Anoxic","Alphaproteobacteria",0.764935064935065
"TAn2_1",675,"Rock Anoxic","Alphaproteobacteria",0.876623376623377
"TAn2_2",799,"Rock Anoxic","Alphaproteobacteria",1.03766233766234
"TAn2_3",2366,"Rock Anoxic","Alphaproteobacteria",3.07272727272727
"TAn3_1",2866,"Rock Anoxic","Alphaproteobacteria",3.72207792207792
"TAn3_2",550,"Rock Anoxic","Alphaproteobacteria",0.714285714285714
"TAn3_3",5128,"Rock Anoxic","Alphaproteobacteria",6.65974025974026
"TAn4_1",10448,"Rock Anoxic","Alphaproteobacteria",13.5688311688312
"TAn4_2",8901,"Rock Anoxic","Alphaproteobacteria",11.5597402597403
"TAn4_3",466,"Rock Anoxic","Alphaproteobacteria",0.605194805194805
"TAn5_1",16217,"Rock Anoxic","Alphaproteobacteria",21.061038961039
"TAn5_2",269,"Rock Anoxic","Alphaproteobacteria",0.349350649350649
"TAn5_3",1244,"Rock Anoxic","Alphaproteobacteria",1.61558441558442
"TO1L",16808,"Rock Oxic","Alphaproteobacteria",21.8285714285714
"TO1_1",828,"Rock Oxic","Alphaproteobacteria",1.07532467532468
"TO1_2",736,"Rock Oxic","Alphaproteobacteria",0.955844155844156
"TO1_3",831,"Rock Oxic","Alphaproteobacteria",1.07922077922078
"TO2_1",3923,"Rock Oxic","Alphaproteobacteria",5.0948051948052
"TO2_2",668,"Rock Oxic","Alphaproteobacteria",0.867532467532467
"TO2_3",4179,"Rock Oxic","Alphaproteobacteria",5.42727272727273
"TO3_1",3297,"Rock Oxic","Alphaproteobacteria",4.28181818181818
"TO3_2",2368,"Rock Oxic","Alphaproteobacteria",3.07532467532468
"TO3_3",4394,"Rock Oxic","Alphaproteobacteria",5.70649350649351
"TO4_1",3330,"Rock Oxic","Alphaproteobacteria",4.32467532467532
"TO4_2",3103,"Rock Oxic","Alphaproteobacteria",4.02987012987013
"TO4_3",7230,"Rock Oxic","Alphaproteobacteria",9.38961038961039
"TO5_1",3944,"Rock Oxic","Alphaproteobacteria",5.12207792207792
"TO5_2",3238,"Rock Oxic","Alphaproteobacteria",4.2051948051948
"TO5_3",3591,"Rock Oxic","Alphaproteobacteria",4.66363636363636
"W1L",6389,"Water","Alphaproteobacteria",8.2974025974026
"W1_1",444,"Water","Alphaproteobacteria",0.576623376623377
"W1_2",386,"Water","Alphaproteobacteria",0.501298701298701
"W1_3",364,"Water","Alphaproteobacteria",0.472727272727273
"W2_1",1298,"Water","Alphaproteobacteria",1.68571428571429
"W2_2",1139,"Water","Alphaproteobacteria",1.47922077922078
"W2_3",1114,"Water","Alphaproteobacteria",1.44675324675325
"W3_1",558,"Water","Alphaproteobacteria",0.724675324675325
"W3_2",2687,"Water","Alphaproteobacteria",3.48961038961039
"W3_3",1429,"Water","Alphaproteobacteria",1.85584415584416
"W4_1",3824,"Water","Alphaproteobacteria",4.96623376623377
"W4_2",3403,"Water","Alphaproteobacteria",4.41948051948052
